date;AAPL;GOOG;NFLX;NVDA
4/01/2010;6.54469;312.204773;7.64;4.245845
5/01/2010;6.556004;310.829926;7.358571;4.307846
6/01/2010;6.451722;302.994293;7.617143;4.335401
7/01/2010;6.439795;295.940735;7.485714;4.250437
8/01/2010;6.48261;299.885956;7.614286;4.259623
11/01/2010;6.425421;299.432648;7.604286;4.199919
12/01/2010;6.352333;294.137512;7.481429;4.05755
13/01/2010;6.441935;292.448822;7.708571;4.112661
14/01/2010;6.404627;293.823669;7.284286;4.048364
15/01/2010;6.297593;288.917053;7.278571;3.928957
19/01/2010;6.576188;292.71283;7.314286;4.002439
20/01/2010;6.474964;289.121307;7.32;3.986363
21/01/2010;6.363035;290.401489;7.312857;3.915179
22/01/2010;6.047439;273.978058;7.27;3.779698
25/01/2010;6.21013;268.99176;7.018571;3.843994
26/01/2010;6.297899;270.197235;7.135714;3.722291
27/01/2010;6.357226;270.037842;7.281429;3.823328
28/01/2010;6.094533;266.1474;9.005714;3.694736
29/01/2010;5.873429;263.98053;8.892857;3.533994
1/02/2010;5.955082;265.514771;8.718571;3.804957
2/02/2010;5.98964;264.568329;8.835714;3.843994
3/02/2010;6.092698;269.400208;8.85;3.876141
4/02/2010;5.873125;262.406433;8.62;3.651105
5/02/2010;5.977406;264.653015;8.691429;3.724587
8/02/2010;5.936427;265.738953;8.7;3.717697
9/02/2010;5.999732;267.218414;8.875714;3.687846
10/02/2010;5.967008;266.227112;8.784286;3.759031
11/02/2010;6.075572;267.198486;9.051429;3.931255
12/02/2010;6.127868;265.564606;9.025714;3.984069
16/02/2010;6.220221;269.639313;9.265714;4.05755
17/02/2010;6.194228;268.100098;9.215714;4.096587
18/02/2010;6.205848;270.595734;9.442857;3.82792
19/02/2010;6.167316;269.370331;9.521429;3.807253
22/02/2010;6.129088;270.386536;9.324286;3.814142
23/02/2010;6.026335;266.53595;9.192857;3.722291
24/02/2010;6.136432;264.742676;9.241429;3.800364
25/02/2010;6.177409;262.232086;9.372857;3.765919
26/02/2010;6.257532;262.416412;9.435714;3.719994
1/03/2010;6.391172;265.350403;9.957143;3.869253
2/03/2010;6.386889;269.519775;9.854286;3.866957
3/03/2010;6.40157;271.641815;9.65;3.818736
4/03/2010;6.44377;276.259521;9.715714;3.825623
5/03/2010;6.695759;281.051544;9.664286;3.942734
8/03/2010;6.699735;280.189789;9.811429;3.885327
9/03/2010;6.820225;279.049042;9.991429;4.029994
10/03/2010;6.875883;287.148682;10.182857;4.039179
11/03/2010;6.896066;289.484924;10.17;3.947326
